            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2328803.499305556, A.D. 1663-Dec-11 23:59:00.0000, -4.878181328033519E+09, -3.821715900979850E+10, -1.451952208207330E+10,  3.118846645516333E-01,  2.329426584791349E+00,  9.513965916236328E-01,  1.373362582850865E+05,  4.117237444380894E+10, -2.534692773258786E+00,
2329169.499305556, A.D. 1664-Dec-11 23:59:00.0000, -4.868314136429563E+09, -3.814346052031203E+10, -1.448942279845286E+10,  3.121789470593008E-01,  2.331732169092188E+00,  9.522724738412206E-01,  1.370687656742682E+05,  4.109218217651488E+10, -2.537173547068857E+00,
2329534.499305556, A.D. 1665-Dec-11 23:59:00.0000, -4.858464618799879E+09, -3.806989064094133E+10, -1.445937811717863E+10,  3.124735510883025E-01,  2.334040480625680E+00,  9.531492642779521E-01,  1.368017428067171E+05,  4.101213073470954E+10, -2.539657201165075E+00,
2329899.499305556, A.D. 1666-Dec-11 23:59:00.0000, -4.848605792730757E+09, -3.799624782370085E+10, -1.442930573316535E+10,  3.127692855591673E-01,  2.336357869261378E+00,  9.540293738700590E-01,  1.365344581664970E+05,  4.093200081543232E+10, -2.542150567187020E+00,
2330264.499305556, A.D. 1667-Dec-11 23:59:00.0000, -4.838737622474390E+09, -3.792253178131332E+10, -1.439920554137653E+10,  3.130661566025814E-01,  2.338684399487676E+00,  9.549128257073002E-01,  1.362669107283615E+05,  4.085179211132207E+10, -2.544653713709531E+00,
2330630.499305556, A.D. 1668-Dec-11 23:59:00.0000, -4.828832997364960E+09, -3.784853996009403E+10, -1.436899485485025E+10,  3.133649908511363E-01,  2.341026545175693E+00,  9.558020772435621E-01,  1.359983653671144E+05,  4.077128423738929E+10, -2.547173605723583E+00,
2330995.499305556, A.D. 1669-Dec-11 23:59:00.0000, -4.818946004676343E+09, -3.777467639503040E+10, -1.433883865257721E+10,  3.136641652499382E-01,  2.343371571353914E+00,  9.566922913650460E-01,  1.357302885019779E+05,  4.069091681505708E+10, -2.549696541239054E+00,
2331360.499305556, A.D. 1670-Dec-11 23:59:00.0000, -4.809049558913787E+09, -3.770073873026316E+10, -1.430865432280788E+10,  3.139645021786421E-01,  2.345725928288881E+00,  9.575859150969434E-01,  1.354619457178180E+05,  4.061046967220721E+10, -2.552229459202371E+00,
2331725.499305556, A.D. 1671-Dec-11 23:59:00.0000, -4.799143623309840E+09, -3.762672667050232E+10, -1.427844175765707E+10,  3.142660078998941E-01,  2.348089681869988E+00,  9.584829714489769E-01,  1.351933359608913E+05,  4.052994249293541E+10, -2.554772429469233E+00,
2332091.499305556, A.D. 1672-Dec-11 23:59:00.0000, -4.789200982135304E+09, -3.755243683809714E+10, -1.424811795765446E+10,  3.145695200527023E-01,  2.350469413489345E+00,  9.593859565916112E-01,  1.349237211494287E+05,  4.044911400589383E+10, -2.557332531577479E+00,
2332456.499305556, A.D. 1673-Dec-11 23:59:00.0000, -4.779275929475912E+09, -3.747827488823306E+10, -1.421784851696896E+10,  3.148733884367300E-01,  2.352852187323564E+00,  9.602899609258326E-01,  1.346545735172683E+05,  4.036842557568359E+10, -2.559895848728322E+00,
2332821.499305556, A.D. 1674-Dec-11 23:59:00.0000, -4.769341275237454E+09, -3.740403764404437E+10, -1.418755051238576E+10,  3.151784501073789E-01,  2.355244559284147E+00,  9.611974710706731E-01,  1.343851557032569E+05,  4.028765614699209E+10, -2.562469433418696E+00,
2333186.499305556, A.D. 1675-Dec-11 23:59:00.0000, -4.759396981613871E+09, -3.732972480178088E+10, -1.415722383296928E+10,  3.154847156385046E-01,  2.357646597092682E+00,  9.621085108581386E-01,  1.341154666235270E+05,  4.020680539488412E+10, -2.565053357997602E+00,
2333552.499305556, A.D. 1676-Dec-11 23:59:00.0000, -4.749415726027380E+09, -3.725513214623325E+10, -1.412678516173624E+10,  3.157930374544937E-01,  2.360064988847966E+00,  9.630256142369270E-01,  1.338447651911504E+05,  4.012565114708781E+10, -2.567654815902906E+00,
2333917.499305556, A.D. 1677-Dec-11 23:59:00.0000, -4.739452012421606E+09, -3.718066697880918E+10, -1.409640071754183E+10,  3.161017378349160E-01,  2.362486588805044E+00,  9.639437938989619E-01,  1.335745295473728E+05,  4.004463653920050E+10, -2.570259665236486E+00,
2334282.499305556, A.D. 1678-Dec-11 23:59:00.0000, -4.729478544333744E+09, -3.710612528833072E+10, -1.406598726090442E+10,  3.164116640575727E-01,  2.364918060777159E+00,  9.648655755273433E-01,  1.333040193375677E+05,  3.996353961848894E+10, -2.572875073419515E+00,
2334647.499305556, A.D. 1679-Dec-11 23:59:00.0000, -4.719495282953698E+09, -3.703150676235588E+10, -1.403554467782340E+10,  3.167228261269644E-01,  2.367359476156448E+00,  9.657909852219352E-01,  1.330332334470266E+05,  3.988236005077193E+10, -2.575501116931976E+00,
2335013.499305556, A.D. 1680-Dec-11 23:59:00.0000, -4.709474797267610E+09, -3.695660633421718E+10, -1.400498932875629E+10,  3.170360916777197E-01,  2.369817636913505E+00,  9.667225988628281E-01,  1.327614277341576E+05,  3.980087474801248E+10, -2.578145111269024E+00,
2335378.499305556, A.D. 1681-Dec-11 23:59:00.0000, -4.699471804494520E+09, -3.688183297818002E+10, -1.397448806694864E+10,  3.173497582371293E-01,  2.372279181818283E+00,  9.676553505828203E-01,  1.324900863426695E+05,  3.971952864530112E+10, -2.580792684310957E+00,
2335743.499305556, A.D. 1682-Dec-11 23:59:00.0000, -4.689458900039907E+09, -3.680698183488960E+10, -1.394395733155752E+10,  3.176646877815018E-01,  2.374750884005712E+00,  9.685918054461354E-01,  1.322184658749398E+05,  3.963809887763732E+10, -2.583451120354859E+00,
2336108.499305556, A.D. 1683-Dec-11 23:59:00.0000, -4.679436043939109E+09, -3.673205258288057E+10, -1.391339700539736E+10,  3.179808888996705E-01,  2.377232816906013E+00,  9.695319892536339E-01,  1.319465651841951E+05,  3.955658510122707E+10, -2.586120497491756E+00,
